Sample,ElapsedHours,DateTime,Light_lux,Temp_C,pH,Depth_m,ODO_PercLocSat,ODO_mgL,SpCond_uScm,fDOM_RFU,Chlorophyll_RFU,TAL_PC_RFU,Ca,Mg,Na,K,Sulfate,Chloride,Si,S,P,Sb,As,Ba,Be,Cd,Cr,Cu,Pb,Se,Tl,Nitrate
EFC 07-01,0,7/2/2022 0:00,0.00,21.865,7.72,0.33,67.6,5.83,250.6,7.96,0.23,0.04,33000,6330,1647,794,6373,2197,3770,"2,402.00",22.3,0.56,1.08,24.66,0.08,0.2,0.25,22.61,0.58,-0.22,0.24,27
EFC 07-02,4,7/2/2022 4:00,0.00,21.116,7.73,0.327,68,5.95,250.2,8.13,0.24,0.11,33500,6480,1679,816,6344,2195,3810,"2,390.00",26,0.51,0.79,25.76,0.03,0.08,0.15,6.5,0.09,0.21,0.15,23
EFC 07-03,8,7/2/2022 8:00,3403.52,21.099,7.79,0.345,78.5,6.86,253.4,7.81,0.23,0.09,33900,6380,1711,839,6234,2227,3800,"2,339.00",19.9,0.35,0.67,26,0.02,0.06,0.08,5.05,0.04,-0.28,0.12,47
EFC 07-04,12,7/2/2022 12:00,44380.16,24.811,8.13,0.34,122.7,10,249.1,6.73,0.21,-0.12,34700,6500,1661,799,6024,2179,3810,"2,278.00",15.2,0.3,0.59,25.65,0.01,0.05,0.08,4.33,0.04,-0.3,0.08,56
EFC 07-05,16,7/2/2022 16:00,18841.60,26.613,8.43,0.321,140.8,11.1,243,6.84,0.19,-0.27,35500,6670,1664,787,6103,2173,3800,"2,295.00",17,0.24,0.59,25.01,0.01,0.04,0.06,3.01,0.03,-1.44,0.06,46
EFC 07-06,20,7/2/2022 20:00,226.72,24.303,7.99,0.325,93.9,7.73,246.5,7.71,0.21,-0.12,34200,6560,1641,740,5989,2109,3770,"2,315.00",14.6,0.22,0.57,24.35,0.01,0.05,0.05,2.9,0.02,-0.94,0.05,27
EFC 07-07,24,7/3/2022 0:00,0.00,22.366,7.81,0.345,76.1,6.49,235.3,8.57,0.29,0.04,32900,6430,1658,799,5900,2148,3780,"2,308.00",20.2,0.18,0.62,24.2,0.01,0.05,0.03,2.36,0.02,-0.25,0.04,11
EFC 07-08,28,7/3/2022 4:00,0.00,21.906,7.64,0.346,67.4,5.8,250.4,9.25,0.26,0.01,32400,6390,1736,899,5906,2268,3810,"2,282.00",6.5,0.25,0.61,24.25,0.01,0.09,0.03,3.1,0.04,0.09,0.04,46
EFC 07-09,32,7/3/2022 8:00,5245.44,22.07,7.7,0.368,79.4,6.82,247.2,10,0.27,0.04,34800,6600,1629,813,6504,2129,3800,"2,444.00",16.9,0.24,0.53,26.32,0.01,0.06,0.06,3.55,0.02,0.22,0.04,65
EFC 07-10,36,7/3/2022 12:00,44257.28,25.115,8.1,0.368,123.4,10,238.9,8.16,0.23,-0.11,35100,6490,1605,757,6191,2055,3760,"2,314.00",7.6,0.21,0.52,24.68,0.01,0.06,0.04,3.05,0.01,-1,0.03,67
EFC 07-11,40,7/3/2022 16:00,3910.40,27.016,8.14,0.351,120.8,9.46,233,8.03,0.19,-0.25,35700,6670,1706,802,6412,2186,3780,"2,403.00",16.6,0.31,0.54,25.73,0.02,0.05,0.07,3.73,0.03,-0.25,0.04,66
EFC 07-12,44,7/3/2022 20:00,111.96,24.047,7.88,0.355,89.1,7.37,232.3,8.76,0.23,-0.04,34700,6620,1762,948,6419,2268,3730,"2,415.00",21.2,0.23,0.57,24.18,0,0.07,0.05,3.83,0.06,-1.05,0.03,53
EFC 07-13,48,7/4/2022 0:00,0.00,22.6,7.69,0.371,68,5.78,240.1,8.82,0.28,0.05,33500,6480,1676,833,6302,2155,3760,"2,409.00",20.5,0.16,0.61,23.91,0,0.04,0.02,2.94,0.03,0.24,0.03,42
EFC 07-14,52,7/4/2022 4:00,0.00,21.883,7.7,0.357,68.3,5.88,245.6,8.68,0.24,0.07,34000,6650,1738,740,6420,2186,3800,"2,471.00",28.2,0.16,0.52,25.58,0,0.05,0.05,3.83,0.05,1.78,0.02,47
EFC 07-15,56,7/4/2022 8:00,2821.12,21.62,7.77,0.375,80.2,6.95,247.8,8.23,0.26,0.08,32800,6200,1610,969,6111,2160,3570,"2,294.00",22.1,0.16,0.49,24.58,0,0.04,0.02,3.62,0.01,0.63,0.02,67
EFC 07-16,60,7/4/2022 12:00,32194.56,24.723,8.15,0.375,123.4,10.08,243.4,7.38,0.23,-0.17,34900,6600,1712,897,8384,2253,3750,"3,077.00",20.6,0.2,0.76,26.49,0.01,0.05,0.06,5.05,0.11,1.79,0.17,117
EFC 07-17,64,7/4/2022 16:00,12349.44,28.811,8.32,0.345,142.5,10.81,240.4,6.74,0.22,-0.4,34100,6500,2517,1450,10150,3202,3470,"3,632.00",40.7,0.2,0.67,25.46,0,0.06,0.06,11.24,0.16,0.52,0.09,130
EFC 07-18,68,7/4/2022 20:00,156.20,24.84,7.88,0.35,87.9,7.16,242.4,8,0.21,-0.11,32900,6290,1628,826,7590,2184,3570,"2,755.00",16.1,0.17,0.58,23.34,0,0.05,0.03,3.1,0.04,0.59,0.06,68
EFC 07-19,72,7/5/2022 0:00,0.00,22.748,7.68,0.35,66.7,5.65,244.5,8.29,0.25,0.02,31800,6120,1599,808,6884,2130,3620,"2,563.00",13.1,0.13,0.57,23.14,0,0.03,0.04,2.63,0.03,0.33,0.05,48
EFC 07-20,76,7/5/2022 4:00,0.00,22.195,7.71,0.35,66.7,5.71,248.2,8.44,0.26,0.05,31900,6130,1623,803,6507,2138,3670,"2,435.00",18.9,0.11,0.62,24.15,0,0.06,0.04,2.4,0.02,1,0.04,49
EFC 07-21,80,7/5/2022 8:00,2974.72,21.975,7.77,0.364,77.1,6.63,252.4,8.07,0.26,0.05,33000,6240,1627,826,6327,2163,3690,"2,355.00",14.2,0.2,0.58,25.74,0.01,0.05,0.06,3.42,0.03,2.05,0.05,63
EFC 07-22,84,7/5/2022 12:00,9781.76,25.528,8.09,0.351,121.7,9.79,248.5,6.93,0.23,-0.14,33500,6290,1609,905,5939,2085,3600,"2,252.00",17.4,0.16,0.5,24.52,0,0.04,0.03,3.17,0.03,0.28,0.03,60
EFC 07-23,88,7/5/2022 16:00,11873.28,29.52,8.35,0.328,138.2,10.36,242.1,6.92,0.24,-0.37,34000,6430,1527,756,5800,1978,3630,"2,167.00",11.5,0.15,0.48,24.62,0,0.04,0.03,2.91,0.04,-0.56,0.03,48
EFC 07-24,92,7/5/2022 20:00,210.08,26.061,7.98,0.326,95.1,7.57,236.3,8.33,0.25,-0.16,32700,6240,1584,800,5984,2097,3560,"2,272.00",11.9,0.23,0.51,23.19,0,0.06,0.04,3.66,0.02,0.49,0.03,39
