miniDOT_Date_Time_CDT,   miniDOT_Temp_C,DO_mgL,DO_PercSat,HOBO_Date_Time_CDT,HOBO_Temp_C,HOBO_Light_lux,I
           2022-05-23 14:24:00,22.732,8.078,95.580,05/23/2022 14:20:21,30.46,20177.92,373.29152
           2022-05-23 14:34:00,19.974,8.716,97.736,05/23/2022 14:30:21,22.18,7987.20,147.7632
           2022-05-23 14:44:00,19.915,8.771,98.237,05/23/2022 14:40:21,20.59,8988.16,166.28096
           2022-05-23 14:54:00,19.89,8.785,98.344,05/23/2022 14:50:21,20.50,8849.92,163.72352
           2022-05-23 15:04:00,19.881,8.824,98.763,05/23/2022 15:00:21,20.55,8084.48,149.56288
           2022-05-23 15:14:00,19.898,8.820,98.751,05/23/2022 15:10:21,20.59,7552.00,139.712
           2022-05-23 15:24:00,19.907,8.814,98.702,05/23/2022 15:20:21,20.59,9456.64,174.94784
           2022-05-23 15:34:00,19.948,8.809,98.727,05/23/2022 15:30:21,20.76,11950.08,221.07648
           2022-05-23 15:44:00,20.032,8.794,98.723,05/23/2022 15:40:21,21.06,15139.84,280.08704
           2022-05-23 15:54:00,20.091,8.797,98.873,05/23/2022 15:50:21,20.98,13670.40,252.9024
           2022-05-23 16:04:00,20.191,8.768,98.743,05/23/2022 16:00:21,21.06,20259.84,374.80704
           2022-05-23 16:14:00,20.283,8.764,98.878,05/23/2022 16:10:21,21.70,30730.24,568.50944
           2022-05-23 16:24:00,20.425,8.756,99.066,05/23/2022 16:20:21,21.83,28497.92,527.21152
           2022-05-23 16:34:00,20.501,8.763,99.294,05/23/2022 16:30:21,21.40,13501.44,249.77664
           2022-05-23 16:44:00,20.559,8.757,99.340,05/23/2022 16:40:21,21.28,9935.36,183.80416
           2022-05-23 16:54:00,20.601,8.747,99.309,05/23/2022 16:50:21,21.23,7096.32,131.28192
           2022-05-23 17:04:00,20.526,8.768,99.400,05/23/2022 17:00:21,21.06,6233.60,115.3216
           2022-05-23 17:14:00,20.434,8.755,99.073,05/23/2022 17:10:21,20.89,6136.32,113.52192
           2022-05-23 17:24:00,20.292,8.750,98.738,05/23/2022 17:20:21,20.80,7242.24,133.98144
           2022-05-23 17:34:00,20.174,8.761,98.631,05/23/2022 17:30:21,20.72,6848.00,126.688
           2022-05-23 17:44:00,20.124,8.749,98.399,05/23/2022 17:40:21,20.59,5696.00,105.376
           2022-05-23 17:54:00,20.066,8.725,98.016,05/23/2022 17:50:21,20.46,3930.88,72.72128
           2022-05-23 18:04:00,19.999,8.704,97.650,05/23/2022 18:00:21,20.37,3345.92,61.89952
           2022-05-23 18:14:00,19.89,8.696,97.349,05/23/2022 18:10:21,20.25,2680.32,49.58592
           2022-05-23 18:24:00,19.789,8.623,96.338,05/23/2022 18:20:21,20.12,3219.20,59.5552
           2022-05-23 18:34:00,19.739,8.600,95.986,05/23/2022 18:30:21,20.03,2576.64,47.66784
           2022-05-23 18:44:00,19.647,8.560,95.364,05/23/2022 18:40:21,19.95,1800.32,33.30592
           2022-05-23 18:54:00,19.58,8.523,94.825,05/23/2022 18:50:21,19.82,1454.72,26.91232
           2022-05-23 19:04:00,19.505,8.459,93.973,05/23/2022 19:00:21,19.77,1064.00,19.684
           2022-05-23 19:14:00,19.463,8.444,93.727,05/23/2022 19:10:21,19.69,941.44,17.41664
           2022-05-23 19:24:00,19.387,8.175,90.607,05/23/2022 19:20:21,19.60,595.84,11.02304
           2022-05-23 19:34:00,19.345,8.185,90.641,05/23/2022 19:30:21,19.56,358.24,6.62744
           2022-05-23 19:44:00,19.303,8.161,90.299,05/23/2022 19:40:21,19.47,190.08,3.51648
           2022-05-23 19:54:00,19.245,8.121,89.752,05/23/2022 19:50:21,19.43,74.64,1.38084
           2022-05-23 20:04:00,19.219,8.073,89.176,05/23/2022 20:00:21,19.43,15.40,0.2849
           2022-05-23 20:14:00,19.178,7.998,88.264,05/23/2022 20:10:21,19.35,2.58,0.04773
           2022-05-23 20:24:00,19.152,7.939,87.568,05/23/2022 20:20:21,19.30,0.00,0
           2022-05-23 20:34:00,19.119,7.881,86.871,05/23/2022 20:30:21,19.30,0.00,0
           2022-05-23 20:44:00,19.094,7.830,86.266,05/23/2022 20:40:21,19.26,0.00,0
           2022-05-23 20:54:00,19.043,7.785,85.682,05/23/2022 20:50:21,19.22,0.00,0
           2022-05-23 21:04:00,19.018,6.889,75.783,05/23/2022 21:00:21,19.17,0.00,0
           2022-05-23 21:14:00,18.985,6.638,72.976,05/23/2022 21:10:21,19.17,0.00,0
           2022-05-23 21:24:00,18.951,6.653,73.091,05/23/2022 21:20:21,19.17,0.00,0
           2022-05-23 21:34:00,18.917,6.624,72.723,05/23/2022 21:30:21,19.09,0.00,0
           2022-05-23 21:44:00,18.884,6.529,71.633,05/23/2022 21:40:21,19.05,0.00,0
           2022-05-23 21:54:00,18.867,6.593,72.309,05/23/2022 21:50:21,19.05,0.00,0
           2022-05-23 22:04:00,18.833,6.592,72.249,05/23/2022 22:00:21,19.00,0.00,0
           2022-05-23 22:14:00,18.791,6.535,71.564,05/23/2022 22:10:21,19.00,0.00,0
           2022-05-23 22:24:00,18.775,6.461,70.731,05/23/2022 22:20:21,19.00,0.00,0
           2022-05-23 22:34:00,18.741,6.468,70.759,05/23/2022 22:30:21,18.87,0.00,0
           2022-05-23 22:44:00,18.716,6.482,70.876,05/23/2022 22:40:21,18.87,0.00,0
           2022-05-23 22:54:00,18.674,6.451,70.477,05/23/2022 22:50:21,18.83,0.00,0
           2022-05-23 23:04:00,18.64,6.473,70.668,05/23/2022 23:00:21,18.79,0.00,0
           2022-05-23 23:14:00,18.623,6.503,70.971,05/23/2022 23:10:21,18.74,0.00,0
           2022-05-23 23:24:00,18.573,6.458,70.409,05/23/2022 23:20:21,18.70,0.00,0
           2022-05-23 23:34:00,18.523,6.417,69.891,05/23/2022 23:30:21,18.70,0.00,0
           2022-05-23 23:44:00,18.531,6.453,70.294,05/23/2022 23:40:21,18.66,0.00,0
           2022-05-23 23:54:00,18.472,6.459,70.275,05/23/2022 23:50:21,18.62,0.00,0
           2022-05-24 00:04:00,18.455,6.446,70.109,05/24/2022 00:00:21,18.62,0.00,0
           2022-05-24 00:14:00,18.43,6.458,70.204,05/24/2022 00:10:21,18.62,0.00,0
           2022-05-24 00:24:00,18.405,6.428,69.843,05/24/2022 00:20:21,18.53,0.00,0
           2022-05-24 00:34:00,18.346,6.494,70.474,05/24/2022 00:30:21,18.49,0.00,0
           2022-05-24 00:44:00,18.337,6.501,70.537,05/24/2022 00:40:21,18.53,0.00,0
           2022-05-24 00:54:00,18.304,6.500,70.478,05/24/2022 00:50:21,18.53,0.00,0
           2022-05-24 01:04:00,18.27,6.504,70.473,05/24/2022 01:00:21,18.40,0.00,0
           2022-05-24 01:14:00,18.253,6.478,70.167,05/24/2022 01:10:21,18.40,0.00,0
           2022-05-24 01:24:00,18.211,6.494,70.279,05/24/2022 01:20:21,18.40,0.00,0
           2022-05-24 01:34:00,18.194,6.472,70.017,05/24/2022 01:30:21,18.32,0.00,0
           2022-05-24 01:44:00,18.161,6.461,69.851,05/24/2022 01:40:21,18.32,0.00,0
           2022-05-24 01:54:00,18.144,6.487,70.107,05/24/2022 01:50:21,18.32,0.00,0
           2022-05-24 02:04:00,18.135,6.496,70.192,05/24/2022 02:00:21,18.27,0.00,0
           2022-05-24 02:14:00,18.11,6.484,70.026,05/24/2022 02:10:21,18.27,0.00,0
           2022-05-24 02:24:00,18.076,6.501,70.161,05/24/2022 02:20:21,18.27,0.00,0
           2022-05-24 02:34:00,18.068,6.500,70.138,05/24/2022 02:30:21,18.23,0.00,0
           2022-05-24 02:44:00,18.043,6.518,70.296,05/24/2022 02:40:21,18.23,0.00,0
           2022-05-24 02:54:00,18.034,6.505,70.143,05/24/2022 02:50:21,18.19,0.00,0
           2022-05-24 03:04:00,18.009,6.464,69.666,05/24/2022 03:00:21,18.19,0.00,0
           2022-05-24 03:14:00,18.017,6.490,69.957,05/24/2022 03:10:21,18.19,0.00,0
           2022-05-24 03:24:00,18.001,6.499,70.031,05/24/2022 03:20:21,18.14,0.00,0
           2022-05-24 03:34:00,17.975,6.504,70.048,05/24/2022 03:30:21,18.10,0.00,0
           2022-05-24 03:44:00,17.967,6.521,70.219,05/24/2022 03:40:21,18.10,0.00,0
           2022-05-24 03:54:00,17.933,6.524,70.202,05/24/2022 03:50:21,18.10,0.00,0
           2022-05-24 04:04:00,17.916,6.522,70.156,05/24/2022 04:00:21,18.14,0.00,0
           2022-05-24 04:14:00,17.899,6.514,70.046,05/24/2022 04:10:21,18.10,0.00,0
           2022-05-24 04:24:00,17.899,6.495,69.841,05/24/2022 04:20:21,18.06,0.00,0
           2022-05-24 04:34:00,17.891,6.518,70.077,05/24/2022 04:30:21,18.06,0.00,0
           2022-05-24 04:44:00,17.857,6.531,70.167,05/24/2022 04:40:21,18.02,0.00,0
           2022-05-24 04:54:00,17.866,6.531,70.180,05/24/2022 04:50:21,18.02,0.00,0
           2022-05-24 05:04:00,17.84,6.501,69.821,05/24/2022 05:00:21,18.06,0.00,0
           2022-05-24 05:14:00,17.84,6.527,70.100,05/24/2022 05:10:21,18.02,0.00,0
           2022-05-24 05:24:00,17.824,6.516,69.959,05/24/2022 05:20:21,18.02,2.58,0.04773
           2022-05-24 05:34:00,17.824,6.504,69.830,05/24/2022 05:30:21,18.02,13.43,0.248455
           2022-05-24 05:44:00,17.798,6.474,69.471,05/24/2022 05:40:21,17.93,38.56,0.71336
           2022-05-24 05:54:00,17.798,6.511,69.868,05/24/2022 05:50:21,18.02,96.32,1.78192
           2022-05-24 06:04:00,17.798,6.512,69.879,05/24/2022 06:00:21,17.97,165.68,3.06508
           2022-05-24 06:14:00,17.781,6.508,69.811,05/24/2022 06:10:21,17.93,242.08,4.47848
           2022-05-24 06:24:00,17.756,6.507,69.764,05/24/2022 06:20:21,17.97,475.52,8.79712
           2022-05-24 06:34:00,17.765,6.502,69.724,05/24/2022 06:30:21,17.97,552.64,10.22384
           2022-05-24 06:44:00,17.748,6.576,70.492,05/24/2022 06:40:21,17.97,739.20,13.6752
           2022-05-24 06:54:00,17.765,6.601,70.784,05/24/2022 06:50:21,17.97,982.08,18.16848
           2022-05-24 07:04:00,17.773,6.620,70.999,05/24/2022 07:00:21,18.02,1006.08,18.61248
           2022-05-24 07:14:00,17.798,6.655,71.411,05/24/2022 07:10:21,18.02,1650.56,30.53536
           2022-05-24 07:24:00,17.807,6.748,72.421,05/24/2022 07:20:21,18.10,2131.20,39.4272
           2022-05-24 07:34:00,17.807,6.859,73.611,05/24/2022 07:30:21,18.10,2129.92,39.40352
           2022-05-24 07:44:00,17.84,6.967,74.820,05/24/2022 07:40:21,18.19,2938.88,54.36928
           2022-05-24 07:54:00,17.883,7.059,75.874,05/24/2022 07:50:21,18.23,3372.80,62.3968
           2022-05-24 08:04:00,17.925,7.182,77.272,05/24/2022 08:00:21,18.32,4131.84,76.43904
           2022-05-24 08:14:00,17.975,7.350,79.158,05/24/2022 08:10:21,18.36,4465.92,82.61952
           2022-05-24 08:24:00,18.009,7.489,80.710,05/24/2022 08:20:21,18.36,3800.32,70.30592
           2022-05-24 08:34:00,18.051,7.623,82.223,05/24/2022 08:30:21,18.44,3810.56,70.49536
           2022-05-24 08:44:00,18.076,7.783,83.990,05/24/2022 08:40:21,18.44,3692.80,68.3168
           2022-05-24 08:54:00,18.127,7.865,84.963,05/24/2022 08:50:21,18.62,5601.28,103.62368
           2022-05-24 09:04:00,18.186,8.021,86.762,05/24/2022 09:00:21,18.74,7193.60,133.0816
           2022-05-24 09:14:00,18.304,8.047,87.253,05/24/2022 09:10:21,18.92,8181.76,151.36256
           2022-05-24 09:24:00,18.388,8.169,88.727,05/24/2022 09:20:21,19.09,8739.84,161.68704
           2022-05-24 09:34:00,18.472,8.260,89.868,05/24/2022 09:30:21,19.05,7385.60,136.6336
           2022-05-24 09:44:00,18.523,8.341,90.842,05/24/2022 09:40:21,19.05,6965.76,128.86656
           2022-05-24 09:54:00,18.581,8.601,93.781,05/24/2022 09:50:21,19.05,5939.20,109.8752
           2022-05-24 10:04:00,18.607,8.598,93.798,05/24/2022 10:00:21,19.09,6592.00,121.952
           2022-05-24 10:14:00,18.691,8.701,95.083,05/24/2022 10:10:21,19.35,8373.76,154.91456
           2022-05-24 10:24:00,18.766,8.722,95.457,05/24/2022 10:20:21,19.52,9574.40,177.1264
           2022-05-24 10:34:00,18.875,8.723,95.679,05/24/2022 10:30:21,19.60,11136.00,206.016
           2022-05-24 10:44:00,18.943,8.778,96.415,05/24/2022 10:40:21,19.73,11043.84,204.31104
           2022-05-24 10:54:00,19.077,8.815,97.083,05/24/2022 10:50:21,19.99,14330.88,265.12128
           2022-05-24 11:04:00,19.219,8.911,98.432,05/24/2022 11:00:21,20.12,12323.84,227.99104
           2022-05-24 11:14:00,19.295,9.004,99.610,05/24/2022 11:10:21,20.07,10920.96,202.03776
           2022-05-24 11:24:00,19.387,9.075,100.580,05/24/2022 11:20:21,20.16,10396.16,192.32896
           2022-05-24 11:34:00,19.53,9.077,100.892,05/24/2022 11:30:21,20.59,14684.16,271.65696
           2022-05-24 11:44:00,19.647,9.107,101.462,05/24/2022 11:40:21,20.72,13808.64,255.45984
           2022-05-24 11:54:00,19.798,9.126,101.981,05/24/2022 11:50:21,20.98,19891.20,367.9872
           2022-05-24 12:04:00,19.965,9.156,102.657,05/24/2022 12:00:21,21.19,19266.56,356.43136
           2022-05-24 12:14:00,20.149,9.198,103.505,05/24/2022 12:10:21,21.49,22405.12,414.49472
           2022-05-24 12:24:00,20.25,9.268,104.501,05/24/2022 12:20:21,21.23,14571.52,269.57312
           2022-05-24 12:34:00,20.451,9.299,105.268,05/24/2022 12:30:21,21.62,16783.36,310.49216
           2022-05-24 12:44:00,20.467,9.351,105.890,05/24/2022 12:40:21,21.23,9891.84,182.99904
           2022-05-24 12:54:00,20.593,9.276,105.303,05/24/2022 12:50:21,21.83,27432.96,507.50976
           2022-05-24 13:04:00,20.701,9.271,105.470,05/24/2022 13:00:21,22.13,24227.84,448.21504
           2022-05-24 13:14:00,20.835,9.282,105.874,05/24/2022 13:10:21,22.18,22016.00,407.296
           2022-05-24 13:24:00,21.002,9.266,106.038,05/24/2022 13:20:21,22.39,25395.20,469.8112
           2022-05-24 13:34:00,21.144,9.271,106.390,05/24/2022 13:30:21,22.56,26030.08,481.55648
           2022-05-24 13:44:00,21.345,9.355,107.775,05/24/2022 13:40:21,22.82,29818.88,551.64928
           2022-05-24 13:54:00,21.571,9.408,108.863,05/24/2022 13:50:21,23.21,29798.40,551.2704
           2022-05-24 14:04:00,21.771,9.387,109.042,05/24/2022 14:00:21,23.25,22067.20,408.2432
           2022-05-24 14:14:00,22.03,9.381,109.519,05/24/2022 14:10:21,23.68,38891.52,719.49312
           2022-05-24 14:24:00,22.047,9.382,109.566,05/24/2022 14:20:21,22.69,6758.40,125.0304
           2022-05-24 14:34:00,22.147,9.352,109.427,05/24/2022 14:30:21,22.91,17909.76,331.33056
           2022-05-24 14:44:00,22.139,9.239,108.090,05/24/2022 14:40:21,23.03,17029.12,315.03872
           2022-05-24 14:54:00,21.938,9.076,105.774,05/24/2022 14:50:21,22.56,5716.48,105.75488
           2022-05-24 15:04:00,21.696,8.911,103.357,05/24/2022 15:00:21,22.13,4632.32,85.69792
           2022-05-24 15:14:00,21.562,8.859,102.488,05/24/2022 15:10:21,22.09,7429.12,137.43872
           2022-05-24 15:24:00,21.395,8.728,100.647,05/24/2022 15:20:21,21.96,6213.12,114.94272
           2022-05-24 15:34:00,21.211,8.683,99.770,05/24/2022 15:30:21,21.58,2576.64,47.66784
           2022-05-24 15:44:00,21.061,8.458,96.903,05/24/2022 15:40:21,21.32,714.56,13.21936
           2022-05-24 15:54:00,20.869,8.174,93.301,05/24/2022 15:50:21,21.10,1680.64,31.09184
           2022-05-24 16:04:00,20.651,7.891,89.678,05/24/2022 16:00:21,20.93,2289.92,42.36352
           2022-05-24 16:14:00,20.609,7.749,87.994,05/24/2022 16:10:21,21.10,7621.12,140.99072
           2022-05-24 16:24:00,20.626,7.711,87.592,05/24/2022 16:20:21,21.23,8545.28,158.08768
           2022-05-24 16:34:00,20.676,7.728,87.871,05/24/2022 16:30:21,21.19,6266.88,115.93728
           2022-05-24 16:44:00,20.668,7.798,88.652,05/24/2022 16:40:21,21.02,2771.20,51.2672
           2022-05-24 16:54:00,20.676,7.767,88.314,05/24/2022 16:50:21,20.98,2355.84,43.58304
           2022-05-24 17:04:00,20.701,7.850,89.301,05/24/2022 17:00:21,21.02,2433.28,45.01568
           2022-05-24 17:14:00,20.66,7.662,87.094,05/24/2022 17:10:21,21.02,3769.60,69.7376
           2022-05-24 17:24:00,20.601,7.535,85.553,05/24/2022 17:20:21,21.02,3592.96,66.46976
           2022-05-24 17:34:00,20.543,7.465,84.662,05/24/2022 17:30:21,20.85,2786.56,51.55136
           2022-05-24 17:44:00,20.476,7.441,84.279,05/24/2022 17:40:21,20.80,2602.88,48.15328
           2022-05-24 17:54:00,20.392,7.371,83.348,05/24/2022 17:50:21,20.80,3920.64,72.53184
           2022-05-24 18:04:00,20.325,7.352,83.024,05/24/2022 18:00:21,20.72,3068.16,56.76096
           2022-05-24 18:14:00,20.266,7.350,82.904,05/24/2022 18:10:21,20.63,3765.76,69.66656
           2022-05-24 18:24:00,20.191,7.328,82.534,05/24/2022 18:20:21,20.50,2096.64,38.78784
           2022-05-24 18:34:00,20.099,7.354,82.675,05/24/2022 18:30:21,20.42,3176.96,58.77376
           2022-05-24 18:44:00,20.049,7.319,82.200,05/24/2022 18:40:21,20.37,2193.28,40.57568
           2022-05-24 18:54:00,19.982,7.323,82.135,05/24/2022 18:50:21,20.25,1783.04,32.98624
           2022-05-24 19:04:00,19.898,7.269,81.394,05/24/2022 19:00:21,20.12,1171.84,21.67904
           2022-05-24 19:14:00,19.831,7.200,80.504,05/24/2022 19:10:21,20.07,831.68,15.38608
           2022-05-24 19:24:00,19.773,7.138,79.719,05/24/2022 19:20:21,20.03,582.88,10.78328
           2022-05-24 19:34:00,19.731,7.037,78.526,05/24/2022 19:30:21,19.90,427.52,7.90912
           2022-05-24 19:44:00,19.664,6.960,77.564,05/24/2022 19:40:21,19.90,192.64,3.56384
           2022-05-24 19:54:00,19.639,6.917,77.047,05/24/2022 19:50:21,19.86,63.74,1.17919
           2022-05-24 20:04:00,19.647,6.827,76.058,05/24/2022 20:00:21,19.82,24.27,0.448995
           2022-05-24 20:14:00,19.639,6.724,74.900,05/24/2022 20:10:21,19.82,2.15,0.039775
           2022-05-24 20:24:00,19.639,6.694,74.566,05/24/2022 20:20:21,19.82,0.00,0
           2022-05-24 20:34:00,19.613,6.669,74.249,05/24/2022 20:30:21,19.82,0.00,0
           2022-05-24 20:44:00,19.63,6.557,73.028,05/24/2022 20:40:21,19.86,0.00,0
           2022-05-24 20:54:00,19.622,6.526,72.672,05/24/2022 20:50:21,19.82,0.00,0
           2022-05-24 21:04:00,19.639,6.483,72.218,05/24/2022 21:00:21,19.86,0.00,0
           2022-05-24 21:14:00,19.639,6.464,72.007,05/24/2022 21:10:21,19.82,0.00,0
           2022-05-24 21:24:00,19.639,6.444,71.784,05/24/2022 21:20:21,19.86,0.00,0
           2022-05-24 21:34:00,19.655,6.405,71.373,05/24/2022 21:30:21,19.82,0.00,0
           2022-05-24 21:44:00,19.664,6.355,70.830,05/24/2022 21:40:21,19.82,0.00,0
           2022-05-24 21:54:00,19.639,6.373,70.994,05/24/2022 21:50:21,19.82,0.00,0
           2022-05-24 22:04:00,19.647,6.354,70.794,05/24/2022 22:00:21,19.86,0.00,0
